Metric,Mean,Std Dev,Min,Max,95% CI Lower,95% CI Upper
accuracy,0.174,0.050039984012787204,0.11,0.25,0.07592163133493707,0.2720783686650629
f1,0.1708738913576262,0.04958953381991169,0.11079365079365079,0.2488261022765573,0.07367840507059929,0.2680693776446531
kappa,-0.033756358456102364,0.06334218968219214,-0.11710807079201713,0.06132665832290374,-0.15790705023319895,0.09039433332099424
mcc,-0.033831209257652026,0.06374876403327313,-0.11777762856643638,0.061926349100299274,-0.15877878676286739,0.09111636824756332
precision,0.1727000252831179,0.05316579579035683,0.11311381074168798,0.25943333333333335,0.06849506553401852,0.2769049850322173
recall,0.174,0.050039984012787204,0.11,0.25,0.07592163133493707,0.2720783686650629
